1	a55a011e00ffff5d000110030004030201ffffffff78563412000000008877665544332211efcdab907856341201001500b2cf35a8531d16a4fd1856101f7e02c7d110bf689bce403bd00c038ac083c34b040302010403020185ffffff85ffffff040302010117d7
2	a55a011e00ffff6d000102010004030201ffffffff78563412000000008877665544332211785634120000000002002500b2cf35a8531d16a4fd1856101f7e02c7d110bf689bce403bd00c038ac083c34b01040302010403020104030201040302010403020104030201341285ffffff0403020134120869
3	a55a011e00ffffd8000102010004030201ffffffff78563412000000008877665544332211785634120000000003009000b2cf35a8531d16a4fd1856101f7e02c7d110bf689bce403bd00c038ac083c34b04030201040302010403020180008000000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f303132333435363738393a3b3c3d3e3f404142434445464748494a4b4c4d4e4f505152535455565758595a5b5c5d5e5f606162636465666768696a6b6c6d6e6f707172737475767778797a7b7c7d7e7f181e
4	a55a011e00ffff75000101010004030201ffffffff78563412000000008877665544332211785634120000000004002d00b2cf35a8531d16a4fd1856101f7e02c7d110bf689bce403bd00c038ac083c34b0104030201040302010403020104030201040302010403020104030201040302010403020104030201040302013073
5	a55a011e00ffff69000101010004030201ffffffff78563412000000008877665544332211785634120000000005002100b2cf35a8531d16a4fd1856101f7e02c7d110bf689bce403bd00c038ac083c34b01040302010403020104030201040302010403020104030201040302010403020182e8
6	a55a011e00ffff63000101010004030201ffffffff78563412000000008877665544332211785634120000000006001b00b2cf35a8531d16a4fd1856101f7e02c7d110bf689bce403bd00c038ac083c34b010403020104030201341285ffffff0403020104030201040302012ef7
7	a55a011e00ffff6d000101010004030201ffffffff78563412000000008877665544332211785634120000000007002500b2cf35a8531d16a4fd1856101f7e02c7d110bf689bce403bd00c038ac083c34b01341204030201080706050403020108070605040302010403020185ffffff3412040302018f93
8	a55a011e00ffff63000103010004030201ffffffff78563412000000008877665544332211785634120000000008001b00b2cf35a8531d16a4fd1856101f7e02c7d110bf689bce403bd00c038ac083c34b01080706050403020134120403020185ffffff08070605040302013c04
9	a55a011e00ffff60000101010004030201ffffffff78563412000000008877665544332211785634120000000009001800b2cf35a8531d16a4fd1856101f7e02c7d110bf689bce403bd00c038ac083c34b0403020104030201040302010403020108070605040302013c21
10	a55a011e00ffff5a000101010004030201ffffffff7856341200000000887766554433221178563412000000000a001200b2cf35a8531d16a4fd1856101f7e02c7d110bf689bce403bd00c038ac083c34b040302010403020104030201341204030201341a
11	a55a011e00ffff7a000110030004030201ffffffff78563412000000008877665544332211efcdab90785634120b003200b2cf35a8531d16a4fd1856101f7e02c7d110bf689bce403bd00c038ac083c34b030200000001000000070000004700000085ffffffc8010000070102030405060708111213141516171821222324252627285c21
